"","MITO_ID","Entrez_Gene_ID","Gene_name","Symbol"
"1","MT001037",51166,"aminoadipate aminotransferase","AADAT"
"2","MT001222",57505,"alanyl-tRNA synthetase 2, mitochondrial","AARS2"
"3","MT000755",10157,"aminoadipate-semialdehyde synthase","AASS"
"4","MT000001",18,"4-aminobutyrate aminotransferase","ABAT"
"5","MT000939",26154,"ATP-binding cassette, sub-family A (ABC1), member 12","ABCA12"
"6","MT000771",10351,"ATP-binding cassette, sub-family A (ABC1), member 8","ABCA8"
"7","MT000770",10350,"ATP-binding cassette, sub-family A (ABC1), member 9","ABCA9"
"8","MT000889",23456,"ATP-binding cassette, sub-family B (MDR/TAP), member 10","ABCB10"
"9","MT000745",10058,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)","ABCB6"
"10","MT000002",22,"ATP-binding cassette, sub-family B (MDR/TAP), member 7","ABCB7"
"11","MT000843",11194,"ATP-binding cassette, sub-family B (MDR/TAP), member 8","ABCB8"
"12","MT000025",215,"ATP-binding cassette, sub-family D (ALD), member 1","ABCD1"
"13","MT000030",225,"ATP-binding cassette, sub-family D (ALD), member 2","ABCD2"
"14","MT000522",5825,"ATP-binding cassette, sub-family D (ALD), member 3","ABCD3"
"15","MT000538",6059,"ATP-binding cassette, sub-family E (OABP), member 1","ABCE1"
"16","MT000747",10061,"ATP-binding cassette, sub-family F (GCN20), member 2","ABCF2"
"17","MT000725",9619,"ATP-binding cassette, sub-family G (WHITE), member 1","ABCG1"
"18","MT000707",9429,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","ABCG2"
"19","MT001157",55347,"abhydrolase domain containing 10","ABHD10"
"20","MT001375",83451,"abhydrolase domain containing 11","ABHD11"
"21","MT001219",57406,"abhydrolase domain containing 6","ABHD6"
"22","MT000003",25,"ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL1"
"23","MT000778",10449,"acetyl-CoA acyltransferase 2","ACAA2"
"24","MT000004",31,"acetyl-CoA carboxylase α","ACACA"
"25","MT000005",32,"acetyl-CoA carboxylase β","ACACB"
"26","MT001358",80724,"acyl-CoA dehydrogenase family, member 10","ACAD10"
"27","MT001390",84129,"acyl-CoA dehydrogenase family, member 11","ACAD11"
"28","MT000954",27034,"acyl-CoA dehydrogenase family, member 8","ACAD8"
"29","MT000979",28976,"acyl-CoA dehydrogenase family, member 9","ACAD9"
"30","MT000006",33,"acyl-CoA dehydrogenase, long chain","ACADL"
"31","MT000007",34,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain","ACADM"
"32","MT000008",35,"acyl-CoA dehydrogenase, C-2 to C-3 short chain","ACADS"
"33","MT000009",36,"acyl-CoA dehydrogenase, short/branched chain","ACADSB"
"34","MT000010",37,"acyl-CoA dehydrogenase, very long chain","ACADVL"
"35","MT000011",38,"acetyl-CoA acetyltransferase 1","ACAT1"
