Gene.primaryIdentifier	Gene.name	Gene.symbol	Gene.description	Gene.chr	Gene.mitoEvidenceMitoCarta	Gene.mitoEvidenceIMPI	Gene.mitoEvidenceGO	Gene.mitoEvidenceHumanProteinAtlas	Gene.MTSipsort	Gene.MTSmitofates	Gene.MTSmitoprot	Gene.MTStargetP
ENSG00000109576	51166	AADAT	aminoadipate aminotransferase	4	true	true	true	false	1.0	0.882	0.99	0.802
ENSG00000090861	16	AARS	alanyl-tRNA synthetase	16	false	true	true	false	0.0	0.024	0.1751	0.244
ENSG00000124608	57505	AARS2	alanyl-tRNA synthetase 2, mitochondrial	6	true	true	true	true	1.0	1.0	0.998	0.947
ENSG00000008311	10157	AASS	aminoadipate-semialdehyde synthase	7	true	true	true	true	0.0	0.938	0.7829	0.792
ENSG00000183044	18	ABAT	4-aminobutyrate aminotransferase	16	true	true	true	false	1.0	0.996	0.9803	0.888
ENSG00000179869	154664	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	7	true	true	false	false	1.0	0.142	0.4207	0.065
ENSG00000141338	10351	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	17	false	true	true	false	0.0	0.117	0.984	0.325
ENSG00000154258	10350	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	17	true	true	true	false	1.0	0.096	0.9448	0.534
ENSG00000135776	23456	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	1	true	true	true	false	0.0	0.019	0.032	0.116
ENSG00000115657	10058	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)	2	true	true	true	false	0.0	0.003	0.0015	0.021
ENSG00000131269	22	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	X	true	true	true	true	1.0	0.996	0.685	0.867
ENSG00000197150	11194	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	7	true	true	true	true	1.0	0.958	0.63	0.923
ENSG00000101986	215	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	X	true	true	true	false	1.0	0.716	0.9393	0.557
ENSG00000117528	5825	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	1	true	true	true	false	0.0	0.85	0.878	0.857
ENSG00000164163	6059	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	4	false	true	true	false	1.0	0.004	0.3906	0.109
ENSG00000144827	55347	ABHD10	abhydrolase domain containing 10	3	true	true	true	false	1.0	0.39	0.9996	0.597
ENSG00000106077	83451	ABHD11	abhydrolase domain containing 11	7	true	true	true	true	1.0	0.478	0.9898	0.905
ENSG00000267740	""	AC024592.12	Uncharacterized protein 	19	false	true	false	false	0.0	0.042	0.2758	0.116
ENSG00000268187	""	AC118758.1	Uncharacterized protein 	7	false	true	false	false	1.0	0.171	0.9836	0.769
ENSG00000060971	30	ACAA1	acetyl-CoA acyltransferase 1	3	true	true	false	false	0.0	0.121	0.3548	0.425
ENSG00000167315	10449	ACAA2	acetyl-CoA acyltransferase 2	18	true	true	true	true	0.0	0.996	0.475	0.644
ENSG00000076555	32	ACACB	acetyl-CoA carboxylase beta	12	true	true	true	false	0.0	0.012	0.2588	0.021
